Product Type,Count,Sample Products,Collections
"jumper",5,"cavallo-della-jumper; cavallo-devony-hoody; cavallo-selja-ladies-sweat-hoody; animo-lamu-ladies-crew-neck; nautica-stripe-zip-jumper-navy-white","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); dapple-eq (Dapple EQ)"
"Bandages",5,"cavallo-hiva-bandages; cavallo-hopi-bandages; lavender-bay-bandages; fleece-bandages; titan-fleece-bandages-in-stock","little-equine-co (Little Equine Co); cavallo (Shop Cavallo Products); globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet); on-sale (On Sale - Discount On The Best Brands & Gear)"
"beanie",5,"cavallo-eireen-knitted-beanie; cavallo-elena-beanie; cavallo-cavalgaby-beanie; will-bear-levi-wool-beanie-tusk; will-bear-tasman-soft-wool-beanie-moss","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear); dapple-eq (Dapple EQ)"
"shirt",5,"animo-baku-ladies-polo-top; elle-long-sleeve-show-shirt; eva-base-layer; sophie-sleeveless-training-top; jane-traditional-show-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear); base-layers (Shop Horse Riding Base Layers)"
"SADDLES: Stock & Western Saddles",5,"ammo-pro-half-breed-saddle-black; bates-kimberley-heritage-stock-saddle-cair-classic-brown; bates-kimberley-heritage-stock-saddle-cair-classic-black; ord-river-drafter-poley-17; syd-hill-gibson-half-breed-lth-17","ascot-saddlery (Ascot Saddlery); westerns-saddles-usa (Buy Western Saddles); globo_basis_collection (Globo basis collection - Do not delete)"
"RIDER: Body Protectors",5,"champion-ti22-body-protector-adults-black; champion-ti22-body-protector-adults-grey; champion-ti22-body-protector-childs-black-medium; vipa-1-body-protector; vipa-3-body-protector","body-protectors (Horse Riding Safety Vests); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"CLOTHING: Belts",5,"huntington-rouge-inlay-belt-tan; thomas-cook-belt-comfort-dark-brown-dark-brown; belt-tommy-hilfiger-cambria-stretch-desert-sky; belt-pilbara-western-dress-buckle-tooled-leather-dark-brown; belt-pilbara-western-rodeo-buckle-tooled-leather-dark-brown","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"Girth Accessories",5,"ezy-ride-latigo-pattern-rasberry-snake; ammo-latigo-straps-brown; western-to-english-girth-converter-pair; wintec-stud-girth-attach-brn; tanami-girth-point-loop-end-1x20","trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"FOOTWEAR CLEARANCE",5,"ariat-western-boots-anthem-venttek-h20-toasted-wheat-ladies; pure-western-boots-casey-w23-black-ladies; ariat-western-boots-rockdale-almond-buff-ladies; grazioli-field-boots-black; grazioli-top-boots-black","footwear (Horse Riding Boots & Footwear, Trainers, Workers); ascot-saddlery (Ascot Saddlery); ariat (Shop & Buy Ariat Clothing & Footwear); globo_basis_collection (Globo basis collection - Do not delete)"
"Bag",5,"penelope-romane-bag; penelope-laly-handbag; equalife®-lunch-box-small; equalife-little-lunch-bag; kentucky-grooming-bag-kit","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"Accessoriess",5,"rose-pink-hair-scarf; satin-scrunchies; satin-scrunchie-pearl-white; performance-socks; daily-mesh-tote","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
"HORSE RUG CLEARANCE",5,"kozy-combo-600-denier-200gm-fill-navy-baby-blue-53; kozy-combo-600-denier-200gm-fill-navy-baby-blue-49; kozy-combo-1200-denier-navy-53; eurohunter-thredbo-fleece-rug-rhubarb; kosciuszko-rug-1200d-220gm-eurohunter-22-model","horse-rugs (Horse Rugs - All Types); ascot-saddlery (Ascot Saddlery); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Training and Lunging",5,"horsemanship-training-whip; sparkle-crop-75cm; grainge-elastic-chambon; 8ft-redhide-bullwhip-12-plait; large-dressage-cones-12-x-400mm","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Saddle Gullet",5,"x-change-gullet-series-2; easy-change-gullet-bates-wintec-arena; thorowgood-gullet-sbar; x-change-gullet-series-1; thorowgood-gullet-rbar","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); wintec (Shop Wintec - Saddles & Equestrian Gear)"
"Synthetic Stirrup Straps",5,"duratac-webbers-black; wintec-slimline-stirrup-straps; synthetic-stirrup-leathers; status-e2-synthetic-stirrup-leathers; wintec-webbers","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); wintec (Shop Wintec - Saddles & Equestrian Gear); stirrups (Shop Horse Riding Stirrups & Leathers)"
"Beanies",5,"hz-leona-knit-tube-scarf-ag; hz-leona-knit-tube-scarf-dbr; horze-keona-jr-crystal-beanie; horez-terry-kids-knitted-hat; ariat-uni-tarsia-beanie-raining-bits","globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Winter Rugs",5,"zilco-hamilton-combo; eurohunter-iron-bark-combo; eurohunter-merino-wool-rug; bounty-hunter-winter-combo; winter-combo-600d-200gm-navy-blue","zilco (Shop Zilco Rugs, Horse Boots & Accessories); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld); eurohunter (Shop Eurohunter Equestrian Gear & Accessories)"
"Dressage Pads",5,"kentucky-saddle-pad-leather-dressage-corale; grainge-velvet-dressage-pad-black; grainge-velvet-dressage-pad-dark-blue; b-vertigo-calgary-dressage-saddlepad; b-vertigo-cameron-navy-set-full-saddle-pad-bonnet","on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); shire-saddleworld (Shire Saddleworld)"
"Half Pads",5,"design-your-own-e-a-mattes-half-pad; pony-lambswool-saddle-pad; anti-slip-airflow-shockproof-racing-training-saddle-pad; airtechnology-shockproof-wool-saddle-pad-half-pad; lambswool-saddle-pad","saddle-pads (Saddle Blankets, Pads & Squares); globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Magnetic Boots",5,"magni-teque-boot-wrap-liners; magni-teque-magnetic-hoof-boots; magni-teque-magnetic-hock-boots; magni-teque-magnetic-boot-wraps; magni-teque-magnetic-fetlock-boots","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Noseband",5,"rope-noseband; melodie-noseband-patent-white-padding; fancy-stitch-padded-wave-cavesson-noseband; hanoverian-noseband-rolled-patent; hanoverian-noseband-flat-patent","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"brush",5,"queens-brush-mane-tail; hairy-pony-face-brush; hairy-pony-quater-mark-brush; hairy-pony-wool-brush; hairy-pony-wash-bay-brush","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete); hairy-pony (Shop Hairy Pony Grooming Products)"
"horse care",5,"epona-quilted-cloud-cloth; trm-hoofmaker-concentrated-pellet; trm-cool-it-mag; trm-kurasyn-360x; pure-steed-indiglo-brightening-shampoo","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete)"
"grooming",5,"epona-butterfly-groomer-curry-brush; hairy-pony-luxury-horse-sweat-scraper; hairy-pony-2-in-1-horse-detangle-spray; hairy-pony-original-brush-kit; hairy-pony-flat-waxed-horse-plaiting-thread","dapple-eq (Dapple EQ); globo_basis_collection (Globo basis collection - Do not delete); hairy-pony (Shop Hairy Pony Grooming Products)"
"Bitless Bridle",5,"seline-bitless-bridle-no-reins; skyla-bitless-bridle-no-reins; symphony-bitless-bridle-no-reins; santiago-bitless-bridle-no-reins; astra-sidepull-bridle","globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Saddlepad",4,"premier-equine-close-contact-cotton-gp-jump-square; premier-equine-close-contact-tech-grip-pro-anti-slip-saddle-pad-dressage-square; premier-equine-close-contact-tech-grip-pro-anti-slip-saddle-pad-gp-jump-square; premier-equine-cotton-gp-jump-square","saddle-pads (Saddle Blankets, Pads & Squares); globo_basis_collection (Globo basis collection - Do not delete); the-equestrian (The Equestrian)"
"Saddle Cloth",4,"ca-performers-fleece-saddle-pad; ca-performers-saddle-pad; estate-fleece-saddlecloth-dressage; grenoble-saddle-cloth","saddle-pads (Saddle Blankets, Pads & Squares); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Bridle Accessories",4,"ca-performers-ear-bonnet; aubenhausen-classics-ear-bonnet; equipe-patent-bling-browband-br64; equipe-browband-br35","horse-health (Horse Health & Nutrition); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); fly-veils-and-hoods (Mask & Fly Veils For Horses & Ponies); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); strapping (Bridles & Strapping - Top Brands For All Disciplines); equipe (Shop Equipe)"
"Bits - Bit Accessories",4,"bitbutter-bit-balm-softening-balm; pelham-rounding-leather; rubber-bit-guards; dyon-hackamore-protection","horse-bits (Shop & Buy Horse Bits - Quality Brands - All Types); trailrace-equestrian-outfitters (Trailrace Equestrian Outfitters); globo_basis_collection (Globo basis collection - Do not delete); strapping (Bridles & Strapping - Top Brands For All Disciplines)"
"Therapy Boots",4,"kentucky-recuptex-stable-boots; ice-vibe-cold-circulation-tendon-boots; ice-vibe-hock-wraps; rambo-ionic-stable-boots","horse-boots (Horse Boots - All Types); dapple-eq (Dapple EQ); kentucky (Shop Kentucky Horsewear - Boots, Pads, Bonnets, Girths, Bandages & More); globo_basis_collection (Globo basis collection - Do not delete); little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); horse-rugs (Horse Rugs - All Types)"
"Boys Competition Jacket",4,"animo-isp-boys-competition-jacket; animo-pony-division-idris-boys-jacket; animo-ss20-boys-iale-competition-jacket; animo-iachin-18-boys-competition-jacket","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Polo Shirt",4,"animo-amalfi-mens-casual-polo-shirt; anky-new-pullover-half-zip; animo-brancio-ladies-polo-top; cavallo-cavalnema-polo-shirt","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); anky (Shop ANKY); little-equine-co (Little Equine Co)"
"Vest",4,"animo-ivo-mens-padded-vest; cavallo-floor-quilted-vest; cavallo-caval-ladies-hybrid-vest; cavallo-cavalnoria-vest","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); dapple-eq (Dapple EQ); animo (Shop Animo Equestrian Gear); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); little-equine-co (Little Equine Co)"
"Leather Plaited Belt",4,"leather-plaited-belt-navy-and-red; leather-plaited-belt-olive-dark; leather-plaited-belt-olive-light; leather-plaited-belt-black-white","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); hitchley-harrow (Hitchley & Harrow); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete)"
"Hood",4,"deluxe-stretch-zip-hoods-black; fleece-winter-stretch-zip-hoods; summer-stretch-zip-hoods-black; summer-stretch-zip-hoods-white","horse-rugs (Horse Rugs - All Types); diamond-deluxe-horsewear (Diamond Deluxe Horsewear); globo_basis_collection (Globo basis collection - Do not delete)"
"Half Chaps",4,"dyon-comfort-half-chaps; adult-easy-close-half-chaps; childs-zipper-half-chaps; adult-zipper-half-chaps","little-equine-co (Little Equine Co); on-sale (On Sale - Discount On The Best Brands & Gear); dyon (Shop Dy'On European Classic Equestrian Gear); globo_basis_collection (Globo basis collection - Do not delete); tacklet (Tacklet)"
"Books & Magazines",4,"contention-book-1-by-stephen-irwin; resilience-book-5-by-stephen-irwin; providence-book-2-by-stephen-irwin; untouchable-book-4-by-stephen-irwin","horse-books (Books - Fiction & Non Fiction); top-brands (Top Brands); globo_basis_collection (Globo basis collection - Do not delete); pets (Pets - Products For Dogs, Cats, & Other Small Animals)"
"Lead Rope",4,"cavallo-harika-lead-rope-with-panic-hook; kentucky-lead-rope; cavallo-jone-lead-rope; kentucky-plaited-nylon-lead-rope","little-equine-co (Little Equine Co); globo_basis_collection (Globo basis collection - Do not delete); dapple-eq (Dapple EQ); horse-halters (Shop Horse Halters)"
"CLOTHING CLEARANCE",4,"ariat-ascent-short-sleeve-baselayer-navy-ladies; showgirl-sb-trim-show-jacket-navy-childs; wrangler-tee-shirt-brando-long-sleeve-grey-marle-navy-mens; ariat-jacket-lumina-w23-ebony-ladies","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); base-layers (Shop Horse Riding Base Layers); globo_basis_collection (Globo basis collection - Do not delete); on-sale (On Sale - Discount On The Best Brands & Gear)"
"Bird Potions & Lotions",4,"aristopet-bird-wormer-plus-syrup-50ml; bird-mite-lice-spray-avitrol-250ml; vetafarm-bird-wormout-gel-50ml; vetafarm-probotic-450gm","ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete); birds (Shop Birds - Feed, Treats, Accessories, Supplies); pets (Pets - Products For Dogs, Cats, & Other Small Animals)"
"CLOTHING: Clothing Childs",4,"huntington-willow-riding-jacket-navy-childs; tee-shirt-ariat-farm-animal-heather-grey-navy-ls-girls; tee-shirt-ariat-dream-mulberry-ls-girls; polo-ariat-taryn-team-ss-girls","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); ascot-saddlery (Ascot Saddlery); globo_basis_collection (Globo basis collection - Do not delete)"
"shirts",4,"grace-show-shirt; kate-show-shirt; empire-base-layer; classic-short-sleeve-base-layer","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); globo_basis_collection (Globo basis collection - Do not delete); qj-riding-wear (QJ Riding Wear); on-sale (On Sale - Discount On The Best Brands & Gear); base-layers (Shop Horse Riding Base Layers); jnk-collective (JNK Collective)"
"Active Tights",4,"active-tights-grey; active-tights-navy; competition-tights-snow-white; royalty-tights","horse-riding-apparel (Competition, Training & Casual - Horse Riding Clothes); on-sale (On Sale - Discount On The Best Brands & Gear); globo_basis_collection (Globo basis collection - Do not delete); jnk-collective (JNK Collective)"
